28,1542055190,3f6c1609d992,scih-machine_mongodb_1,0.36%,51.08MiB,3.607GiB,1.38%
28,1542055190,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
29,1542055190,684f50dc2b4d,scih-machine_api-gateway_1,0.73%,82.43MiB,3.607GiB,2.23%
29,1542055190,b2c79388a6a1,scih-machine_gps-service_1,0.47%,91.55MiB,3.607GiB,2.48%
29,1542055190,3f6c1609d992,scih-machine_mongodb_1,0.36%,51.08MiB,3.607GiB,1.38%
29,1542055190,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
30,1542055190,684f50dc2b4d,scih-machine_api-gateway_1,0.73%,82.43MiB,3.607GiB,2.23%
30,1542055190,b2c79388a6a1,scih-machine_gps-service_1,0.47%,91.55MiB,3.607GiB,2.48%
30,1542055190,3f6c1609d992,scih-machine_mongodb_1,0.36%,51.08MiB,3.607GiB,1.38%
30,1542055190,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
31,1542055191,684f50dc2b4d,scih-machine_api-gateway_1,48.10%,58.02MiB,3.607GiB,1.57%
31,1542055191,b2c79388a6a1,scih-machine_gps-service_1,21.33%,60.48MiB,3.607GiB,1.64%
31,1542055191,3f6c1609d992,scih-machine_mongodb_1,3.67%,51.08MiB,3.607GiB,1.38%
31,1542055191,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
32,1542055191,684f50dc2b4d,scih-machine_api-gateway_1,48.10%,58.02MiB,3.607GiB,1.57%
32,1542055191,b2c79388a6a1,scih-machine_gps-service_1,21.33%,60.48MiB,3.607GiB,1.64%
32,1542055191,3f6c1609d992,scih-machine_mongodb_1,3.67%,51.08MiB,3.607GiB,1.38%
32,1542055191,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
33,1542055191,684f50dc2b4d,scih-machine_api-gateway_1,48.10%,58.02MiB,3.607GiB,1.57%
33,1542055191,b2c79388a6a1,scih-machine_gps-service_1,21.33%,60.48MiB,3.607GiB,1.64%
33,1542055191,3f6c1609d992,scih-machine_mongodb_1,3.67%,51.08MiB,3.607GiB,1.38%
33,1542055191,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
34,1542055191,684f50dc2b4d,scih-machine_api-gateway_1,48.10%,58.02MiB,3.607GiB,1.57%
34,1542055191,b2c79388a6a1,scih-machine_gps-service_1,21.33%,60.48MiB,3.607GiB,1.64%
34,1542055191,3f6c1609d992,scih-machine_mongodb_1,3.67%,51.08MiB,3.607GiB,1.38%
